geo,lat,long
"Agoura Hills, CALIFORNIA",34.14791,-118.7657042
ALABAMA,33.2588817,-86.8295337
"Alameda, CALIFORNIA",37.6090291,-121.899142
"Alameda County, CALIFORNIA",37.6090291,-121.899142
ALASKA,64.4459613,-149.680909
"Albany, CALIFORNIA",37.88687,-122.2977475
"Albuquerque, NEW MEXICO",35.0841034,-106.6509851
"Alhambra, CALIFORNIA",34.093042,-118.12706
"Allegheny County, PENNSYLVANIA",40.4597204,-79.9760405
"Anaheim, CALIFORNIA",33.8347516,-117.911732
"Antioch, CALIFORNIA",38.0049214,-121.805789
"Apple Valley, CALIFORNIA",34.5008311,-117.1858759
"Arcadia, CALIFORNIA",34.1362075,-118.0401497
"Arcata, CALIFORNIA",40.866517,-124.08284
ARIZONA,34.395342,-111.7632755
ARKANSAS,35.2048883,-92.4479108
"Artesia, CALIFORNIA",33.8690197,-118.0796195
"Athens County, OHIO",39.355589,-82.0610404
"Atlanta, GEORGIA",33.7490987,-84.3901849
"Austin, TEXAS",30.2711286,-97.7436995
"Avalon, CALIFORNIA",33.34221,-118.3272612
"Azusa, CALIFORNIA",34.1338751,-117.9056046
"Baldwin Park, CALIFORNIA",34.0854739,-117.9611761
"Baltimore, MARYLAND",39.2908816,-76.610759
"Beaverton, OREGON",45.4871723,-122.8037804
"Bedford, OHIO",41.39311,-81.536509
"Benicia, CALIFORNIA",38.049365,-122.1585777
"Berkeley, CALIFORNIA",37.8708393,-122.2728639
"Bernalillo County, NEW MEXICO",35.0349239,-106.6870693
"Beverly Hills, CALIFORNIA",34.0696501,-118.3963062
"Bexar County, TEXAS",29.4263987,-98.5104781
"Big Bear Lake, CALIFORNIA",34.2440587,-116.9101808
"Bishop, CALIFORNIA",37.363679,-118.3952405
"Blaine County, IDAHO",43.3336455,-113.8808311
"Boise, IDAHO",43.6166163,-116.200886
"Buellton, CALIFORNIA",34.6134727,-120.1936692
"Buena Park, CALIFORNIA",33.870413,-117.9962165
"Burbank, CALIFORNIA",34.1816482,-118.3258554
"Burien, WASHINGTON",47.469918,-122.3485274
"Calabasas, CALIFORNIA",34.1446643,-118.6440973
CALIFORNIA,36.7014631,-118.7559974
"Camarillo, CALIFORNIA",34.2164099,-119.0376573
"Capitola, CALIFORNIA",36.9762927,-121.9540577
"Carmel, CALIFORNIA",38.75511285,-121.35330894827251
"Carmel-by-the-Sea, CALIFORNIA",36.5552387,-121.9232879
"Carson, CALIFORNIA",33.8322043,-118.2517547
"Carson City, NEVADA",39.1649125,-119.7666496
"Cathedral City, CALIFORNIA",33.822998049999995,-116.4668702427116
"Cerritos, CALIFORNIA",33.8644291,-118.0539323
"Charleston County, SOUTH CAROLINA",32.8152646,-79.7996814
"Chicago, ILLINOIS",41.8755616,-87.6244212
"Chula Vista, CALIFORNIA",32.6400541,-117.0841955
"Clackamas County, OREGON",45.1608821,-122.2305038
"Clark County, WASHINGTON",45.7669047,-122.4940866
"Clearlake, CALIFORNIA",38.9582307,-122.6263728
"Cleveland, OHIO",41.5051613,-81.6934446
"Coachella, CALIFORNIA",33.68656595,-116.15327749528778
"Collin County, TEXAS",33.1609629,-96.6060984
COLORADO,38.7251776,-105.6077167
"Columbus, OHIO",39.9622601,-83.0007065
"Commerce, CALIFORNIA",34.002581,-118.156586
"Concord, CALIFORNIA",37.9768525,-122.0335624
CONNECTICUT,41.6500201,-72.7342163
"Contra Costa, CALIFORNIA",37.9034806,-121.9175345
"Cook County, ILLINOIS",41.8197385,-87.756525
"Costa Mesa, CALIFORNIA",33.6633386,-117.903317
"Culver City, CALIFORNIA",34.0211224,-118.3964665
"Cuyahoga County, OHIO",41.4301347,-81.6905558
"Dallas, TEXAS",32.7762719,-96.7968559
"Dallas County, TEXAS",32.7620405,-96.7790069
"Dane County, WISCONSIN",43.0709273,-89.4322174
"Davidson County, TENNESSEE",36.189724,-86.7857862
"Davis, CALIFORNIA",38.545379,-121.7445835
"Dayton, OHIO",39.7589478,-84.1916069
"DeKalb County, ILLINOIS",41.8903447,-88.7713953
"Del Rey Oaks, CALIFORNIA",36.5932934,-121.8349515
"Delano, CALIFORNIA",35.7688425,-119.2470536
DELAWARE,38.6920451,-75.4013315
"Denver, COLORADO",39.7392364,-104.9848623
"Desert Hot Springs, CALIFORNIA",33.961124,-116.5016784
DISTRICT OF COLUMBIA,38.893661249999994,-76.98788325388196
"Downey, CALIFORNIA",33.942215,-118.1235646
"Duarte, CALIFORNIA",34.1394513,-117.9772873
"East Palo Alto, CALIFORNIA",37.4688273,-122.1410751
"El Cerrito, CALIFORNIA",33.8410146,-117.52079778811958
"El Monte, CALIFORNIA",36.7014631,-118.7559974
"El Paso, TEXAS",31.7754152,-106.4646348
"Elk Grove, CALIFORNIA",38.4087993,-121.3716178
"Emeryville, CALIFORNIA",37.8314089,-122.2865266
"Encinitas, CALIFORNIA",33.0369867,-117.2919818
"Escondido, CALIFORNIA",33.1216751,-117.0814849
"Española City, NEW MEXICO",35.9910962,-106.0808358
"Essex County, NEW JERSEY",40.7913922,-74.2479444
"Eureka, CALIFORNIA",40.8020712,-124.1636729
"Everett, WASHINGTON",47.9673056,-122.2013998
"Fairborn, OHIO",39.8208998,-84.0193858
"Fayette County, KENTUCKY",38.0280648,-84.4722444
"Fillmore, CALIFORNIA",34.38395800000001,-118.93659550000001
FLORIDA,27.7567667,-81.4639835
"Fort Bragg, CALIFORNIA",39.4534731,-123.81491141575003
"Franklin County, OHIO",40.0283162,-83.0076657
"Fremont, CALIFORNIA",37.5482697,-121.9885719
"Fresno, CALIFORNIA",36.7394421,-119.7848307
"Fresno, CALIFORNIA",36.7394421,-119.7848307
"Fresno, CALIFORNIA",36.7394421,-119.7848307
"Fresno, CALIFORNIA",36.7394421,-119.7848307
"Fullerton, CALIFORNIA",33.8708215,-117.9294165
"Garden Grove, CALIFORNIA",33.7746292,-117.9463717
"Gardena, CALIFORNIA",33.8963593,-118.3053037
GEORGIA,32.3293809,-83.1137366
"Glendale, CALIFORNIA",34.1469416,-118.2478471
"Goleta, CALIFORNIA",34.4358295,-119.8276389
"Grass Valley, CALIFORNIA",39.2190602,-121.0610575
"Gresham, OREGON",45.4997475,-122.4309766
GUAM,13.450125700000001,144.75755102972062
"Half Moon Bay, CALIFORNIA",37.4635519,-122.4285862
"Hamilton County, OHIO",39.2085354,-84.5501874
"Harlan County, KENTUCKY",36.8411336,-83.22678
HAWAII,21.2160437,-157.975203
"Hawaiian Gardens, CALIFORNIA",33.8284787,-118.0743137
"Hayward, CALIFORNIA",37.6688205,-122.0807964
"Henderson, NEVADA",36.0301134,-114.9826194
"Hermosa Beach, CALIFORNIA",33.86428,-118.39591
"Hermosa Beach, CALIFORNIA",33.86428,-118.39591
"Hermosa Beach, CALIFORNIA",33.86428,-118.39591
"Hermosa Beach, CALIFORNIA",33.86428,-118.39591
"Hillsboro, OREGON",45.5228939,-122.989827
IDAHO,43.6447642,-114.0154071
ILLINOIS,40.0796606,-89.4337288
"Imperial Beach, CALIFORNIA",32.5839444,-117.1130849
"Imperial County, CALIFORNIA",33.0305487,-115.3595666
INDIANA,40.3270127,-86.1746933
"Inglewood, CALIFORNIA",33.9562003,-118.353132
IOWA,41.9216734,-93.3122705
"Jackson County, MISSOURI",39.03551565,-94.35827593325297
"Jefferson County, KENTUCKY",38.1787175,-85.664528
"Jurupa Valley, CALIFORNIA",33.9798472,-117.4515754
KANSAS,38.27312,-98.5821872
"Kendall County, ILLINOIS",41.5853584,-88.4319488
"Kenmore, WASHINGTON",47.7573202,-122.2440148
KENTUCKY,37.5726028,-85.1551411
"King County, WASHINGTON",47.4873376,-121.8622122
"Laguna Beach, CALIFORNIA",33.5426975,-117.7853665
"Lakewood, CALIFORNIA",33.8503463,-118.1171914
"Lane County, OREGON",43.9314567,-122.8575849
"Las Vegas, NEVADA",36.1672559,-115.1485163
"Las Vegas NV, NEVADA",36.1672559,-115.1485163
"Laurel County, KENTUCKY",37.1000973,-84.1148273
"Little Rock, ARKANSAS",34.7464809,-92.2895948
"Livermore, CALIFORNIA",37.6820583,-121.7680531
"Lomita, CALIFORNIA",33.8036545,-118.3195014
"Long Beach, CALIFORNIA",33.7690164,-118.1916048
"Los Angeles, CALIFORNIA",34.0536909,-118.2427666
"Los Angeles County, CALIFORNIA",34.3155072,-118.2096814
LOUISIANA,30.8703881,-92.007126
"Lynnwood, CALIFORNIA",38.0449228,-120.2321336
MAINE,45.709097,-68.8590201
"Malibu, CALIFORNIA",34.035591,-118.689423
"Manhattan Beach, CALIFORNIA",33.8915985,-118.3951241
"Maricopa County, ARIZONA",33.34883,-112.49123
"Marin County, CALIFORNIA",38.0409144,-122.6199638
"Marina, CALIFORNIA",36.6900986,-121.80062933026213
MARYLAND,39.5162234,-76.9382069
MASSACHUSETTS,42.3788774,-72.032366
"Maywood, CALIFORNIA",33.9866807,-118.185349
"Mecklenburg County, NORTH CAROLINA",35.2356385,-80.8139485
"Mendocino, CALIFORNIA",39.3176491,-123.4126399
MICHIGAN,43.6211955,-84.6824346
MINNESOTA,45.9896587,-94.6113288
"Mission Viejo, CALIFORNIA",33.5965685,-117.659405
MISSISSIPPI,32.9715645,-89.7348497
MISSOURI,38.7604815,-92.5617875
"Mono County, CALIFORNIA",37.9533927,-118.9398758
"Monrovia, CALIFORNIA",34.1483499,-118.0014517
MONTANA,47.3752671,-109.6387579
"Monterey, CALIFORNIA",36.2231079,-121.3877428
"Montgomery County, MARYLAND",39.1406267,-77.2075612
"Moorpark, CALIFORNIA",34.285558,-118.8820414
"Mountain View, CALIFORNIA",37.3893889,-122.0832101
"Multnomah County, OREGON",45.5093799,-122.4006413
"National City, CALIFORNIA",32.6781085,-117.0991967
NEBRASKA,41.7370229,-99.5873816
"Nevada, CALIFORNIA",39.3540335,-120.8089843
"Nevada, CALIFORNIA",39.3540335,-120.8089843
NEVADA,39.5158825,-116.8537227
"Nevada, CALIFORNIA",39.3540335,-120.8089843
"Nevada, CALIFORNIA",39.3540335,-120.8089843
"Nevada City, CALIFORNIA",39.2615606,-121.0160594
NEW HAMPSHIRE,43.4849133,-71.6553992
NEW JERSEY,40.0757384,-74.4041622
NEW MEXICO,34.5708167,-105.993007
"New Orleans, LOUISIANA",29.9499323,-90.0701156
NEW YORK,40.7127281,-74.0060152
"New York City, NEW YORK",40.7127281,-74.0060152
"Newark, NEW JERSEY",40.735657,-74.1723667
"Newark, CALIFORNIA",37.5296593,-122.0402399
NORTH CAROLINA,35.6729639,-79.0392919
NORTH DAKOTA,47.6201461,-100.540737
"North Las Vegas, NEVADA",36.2005843,-115.1215844
NORTHERN MARIANA ISLANDS,14.149020499999999,145.21345248318923
"Oakland, CALIFORNIA",37.8044557,-122.2713563
"Oakland County, MICHIGAN",42.6618842,-83.3804439
"Oceanside, CALIFORNIA",33.1958696,-117.3794834
OHIO,40.2253569,-82.6881395
"Ojai, CALIFORNIA",34.4480495,-119.242889
"Oklahoma County, OKLAHOMA",35.5533328,-97.4367741
OREGON,43.9792797,-120.737257
"Oxnard, CALIFORNIA",34.1976308,-119.1803818
"Pacific Grove, CALIFORNIA",36.6211374,-121.91779
"Palm Springs, CALIFORNIA",33.8246269,-116.540303
"Palo Alto, CALIFORNIA",37.4443293,-122.1598465
"Pasadena, CALIFORNIA",34.1476452,-118.1444779
PENNSYLVANIA,40.9699889,-77.7278831
"Phoenix, ARIZONA",33.4484367,-112.0741417
"Pico Rivera, CALIFORNIA",33.9830688,-118.096735
"Pierce County, WASHINGTON",47.0022547,-122.2117983
"Pinole, CALIFORNIA",38.0043667,-122.2988587
"Pittsburg, CALIFORNIA",38.0181745,-121.8901232
"Placentia, CALIFORNIA",33.8714814,-117.8617337
"Pomona, CALIFORNIA",34.0553813,-117.7517496
"Portland, OREGON",45.5202471,-122.6741949
PUERTO RICO,18.2214149,-66.41328179513847
"Rancho Cucamonga, CALIFORNIA",34.1033192,-117.5751735
"Rancho Mirage, CALIFORNIA",33.763346,-116.4228596
"Redlands, CALIFORNIA",34.055735,-117.1888961
